"actorid";"name";"sex"
4;"$hort, Too";"M"
16;"'Bear'Boyd, Steven";"M"
28;"'Dead End' Kids, The";"M"
566;"Aaby, Kristian";"M"
580;"Aadil";"M"
636;"Aaker, Lee";"M"
769;"Aamodt, Thor Michael";"M"
797;"Aar, Jim";"M"
802;"Aaran, Abraxas";"M"
808;"Aard, Frank J.";"M"
817;"Aardvark Bragpuss, Fritz";"M"
851;"Aarniokoski, Douglas";"M"
888;"Aaron, Bob (I)";"M"
894;"Aaron, Chad (I)";"M"
923;"Aaron, James (I)";"M"
962;"Aaron, Sam (I)";"M"
978;"Aaron, Victor (I)";"M"
989;"Aarons, Allan";"M"
1143;"Aasland, Derek";"M"
1276;"Abadal, Ignasi";"M"
1304;"Abadia, Oscar";"M"
1348;"Abadía, Julio";"M"
1391;"Abakaz, Suvit";"M"
1517;"Abascal, Paul";"M"
1535;"Abasolo, Roland T.";"M"
1554;"Abatantuono, Diego";"M"
1556;"Abatcha, Saïdou";"M"
1583;"Abatemarco, Tony";"M"
1588;"Abatiell, Robert";"M"
1595;"Abattucci, Serge";"M"
1710;"Abbas, Abdullah";"M"
1805;"Abbasi, Riz";"M"
1923;"Abbey, Ian";"M"
1927;"Abbey, John";"M"
1929;"Abbey, Joshua";"M"
1930;"Abbey, Leo";"M"
1982;"Abbot, Bernie";"M"
1993;"Abbot, Jerry";"M"
2000;"Abbot, Paul";"M"
2007;"Abbot, Tommy";"M"
2036;"Abbott, Bruce (I)";"M"
2039;"Abbott, Bud";"M"
2060;"Abbott, Dalton";"M"
2065;"Abbott, David (I)";"M"
2085;"Abbott, Frankie";"M"
2117;"Abbott, Jamie (I)";"M"
2131;"Abbott, John (I)";"M"
2132;"Abbott, John (II)";"M"
2154;"Abbott, Mark (I)";"M"
2177;"Abbott, Paul (I)";"M"
2188;"Abbott, Ray";"M"
2192;"Abbott, Richard (I)";"M"
2211;"Abbott, Steve (I)";"M"
2212;"Abbott, Steve (II)";"M"
2225;"Abbott, Tommy";"M"
2241;"Abbou, Bernard";"M"
2274;"Abby, Joe";"M"
2304;"Abdala, José";"M"
2528;"Abdellatif, Hilal";"M"
2540;"Abdelmajid, Baji";"M"
2542;"Abdelmajid, Zaouia";"M"
2553;"Abdelmonmonmeni, Kouider";"M"
2563;"Abdelrasoul, Khalid";"M"
2593;"Abderrazak, Mahmoud";"M"
2645;"Abdillah, Shion";"M"
2661;"Abdo, Eddie";"M"
2799;"Abdul-Ali, Hassan";"M"
2806;"Abdul-Jabbar, Kareem (I)";"M"
2818;"Abdul-Mansour, Malek";"M"
2930;"Abdullah, Joe";"M"
3055;"Abdurrahamn, Umar";"M"
3105;"Abe, Hiroshi (I)";"M"
3134;"Abe, Mario";"M"
3142;"Abe, Matthew";"M"
3188;"Abe, Tôru";"M"
3191;"Abe, Y. Hero";"M"
3242;"Abed-Alnour, Youssef";"M"
3300;"Abel, Alfred";"M"
3344;"Abel, Joseph Patrick";"M"
3391;"Abel, Walter";"M"
3422;"Abelanski, Lionel";"M"
3424;"Abelar, Michael";"M"
3441;"Abele, Jim (I)";"M"
3467;"Abelew, Alan";"M"
3480;"Abell, Alistair";"M"
3543;"Abelle, Janvier";"M"
3553;"Abello, Jarrett";"M"
3639;"Aber, Chuck";"M"
3661;"Abercrombie, Ian";"M"
