"movieid";"title";"year"
1672052;"'Breaker' Morant (1980)";"1980"
1672111;"'Crocodile' Dundee II (1988)";"1988"
1672580;"'Til There Was You (1997)";"1997"
1672716;"'night, Mother (1986)";"1986"
1672946;"...And Justice for All (2014)";"2014"
1673647;"1-2-3-4 ou Les collants noirs (1961)";"1961"
1673658;"1-900 (1996)";"1996"
1673848;"10 Things I Hate About You (1999)";"1999"
1674388;"101 Dalmatians (1996)";"1996"
1674737;"12 Angry Men (1957)";"1957"
1677011;"2 Days in the Valley (1996)";"1996"
1677258;"2 ou 3 choses que je sais d'elle (1967)";"1967"
1677346;"20 Dates (1998)";"1998"
1677472;"20,000 Leagues Under the Sea (1905)";"1905"
1677516;"200 Cigarettes (1999)";"1999"
1677631;"2001: A Space Odyssey (1968)";"1968"
1678036;"2010 (1984)";"1984"
1678591;"24 7: Twenty Four Seven (1997)";"1997"
1679029;"28 Days (2000)";"2000"
1679461;"3 Ninjas: High Noon at Mega Mountain (1998)";"1998"
1679507;"3 Strikes (2000)";"2000"
1679920;"301, 302 (1995)";"1995"
1681633;"52 Pick-Up (1986)";"1986"
1681655;"54 (1998)";"1998"
1682630;"8 1/2 (1963)";"1963"
1682657;"8 Heads in a Duffel Bag (1997)";"1997"
1682692;"8 Seconds (1994)";"1994"
1682746;"8 ½ Women (1999)";"1999"
1682922;"8MM (1999)";"1999"
1684201;"A Boy Called Hate (1995)";"1995"
1684430;"A Bronx Tale (1993)";"1993"
1684442;"A Brother's Kiss (1997)";"1997"
1684486;"A Bug's Life (1998)";"1998"
1684910;"A Century of Cinema (1994)";"1994"
1685241;"A Christmas Carol (1938)";"1938"
1685309;"A Christmas Story (1983)";"1983"
1685405;"A Civil Action (1998)";"1998"
1685463;"A Clockwork Orange (1971)";"1971"
1685493;"A Close Shave (1995)";"1995"
1685815;"A Cool, Dry Place (1998)";"1998"
1686071;"A Cry in the Dark (2010)";"2010"
1686209;"A Damsel in Distress (1937)";"1937"
1687181;"A Dog of Flanders (1999)";"1999"
1687191;"A Dog's Life (1917)";"1917"
1687544;"A Face in the Crowd (1957)";"1957"
1687685;"A Family Thing (1996)";"1996"
1687730;"A Far Off Place (1993)";"1993"
1687738;"A Farewell to Arms (1932)";"1932"
1687905;"A Few Good Men (1992)";"1992"
1688103;"A Fish Called Wanda (1988)";"1988"
1688565;"A Further Gesture (1997)";"1997"
1689117;"A Good Man in Africa (1994)";"1994"
1689183;"A Goofy Movie (1995)";"1995"
1689210;"A Grand Day Out (1989)";"1989"
1689263;"A Great Day in Harlem (1994)";"1994"
1689475;"A Hard Day's Night (1964)";"1964"
1690318;"A Kid in King Arthur's Court (1995)";"1995"
1690377;"A King in New York (1957)";"1957"
1690616;"A League of Their Own (1992)";"1992"
1690710;"A Letter from Death Row (1998)";"1998"
1690773;"A Life Less Ordinary (1997)";"1997"
1690958;"A Little Bit of Soul (1998)";"1998"
1691077;"A Little Princess (1995)";"1995"
1691387;"A Low Down Dirty Shame (1994)";"1994"
1691642;"A Man for All Seasons (1966)";"1966"
1691685;"A Man of No Importance (1994)";"1994"
1691793;"A Map of the World (1999)";"1999"
1692173;"A Midsummer Night's Dream (1999)";"1999"
1692404;"A Modern Affair (1995)";"1995"
1692580;"A Month by the Lake (1995)";"1995"
1693225;"A Night at the Roxbury (1998)";"1998"
1693305;"A Night to Remember (1958)";"1958"
1693341;"A Nightmare on Elm Street (1984)";"1984"
1693345;"A Nightmare on Elm Street 3: Dream Warriors (1987)";"1987"
1693346;"A Nightmare on Elm Street 4: The Dream Master (1988)";"1988"
1693347;"A Nightmare on Elm Street Part 2: Freddy's Revenge (1985)";"1985"
1693348;"A Nightmare on Elm Street: The Dream Child (1989)";"1989"
1693818;"A Perfect Candidate (1996)";"1996"
1693861;"A Perfect Murder (1998)";"1998"
1693880;"A Perfect World (1993)";"1993"
1694141;"A Place in the Sun (1951)";"1951"
1694448;"A Price Above Rubies (1998)";"1998"
1694647;"A Pyromaniac's Love Story (1995)";"1995"
1694901;"A Raisin in the Sun (1961)";"1961"
1695219;"A River Runs Through It (1992)";"1992"
1695355;"A Room with a View (1985)";"1985"
1696148;"A Simple Plan (1998)";"1998"
1696165;"A Simple Twist of Fate (1994)";"1994"
1696168;"A Simple Wish (1997)";"1997"
1696396;"A Smile Like Yours (1997)";"1997"
1696473;"A Soldier's Daughter Never Cries (1998)";"1998"
1696496;"A Soldier's Story (1984)";"1984"
1696789;"A Star Is Born (1937)";"1937"
1697037;"A Streetcar Named Desire (1951)";"1951"
1697674;"A Thin Line Between Love and Hate (1996)";"1996"
1697690;"A Thousand Acres (1997)";"1997"
1697774;"A Tickle in the Heart (1996)";"1996"
1697856;"A Time to Kill (1996)";"1996"
1698492;"A Very Brady Sequel (1996)";"1996"
1698547;"A Very Natural Thing (1974)";"1974"
1698667;"A View to a Kill (1985)";"1985"
1698944;"A Walk in the Clouds (1995)";"1995"
1698960;"A Walk in the Sun (1945)";"1945"
1698972;"A Walk on the Moon (1999)";"1999"
1699546;"A Woman of Paris: A Drama of Fate (1923)";"1923"
1699876;"A Zed & Two Noughts (1986)";"1986"
1703410;"About Adam (2000)";"2000"
1703469;"About Last Night... (1986)";"1986"
1703588;"Above the Rim (1994)";"1994"
1703679;"Abre los ojos (1997)";"1997"
1703907;"Absolute Power (1997)";"1997"
1704569;"Ace Ventura: Pet Detective (1994)";"1994"
1704571;"Ace Ventura: When Nature Calls (1995)";"1995"
1704577;"Ace in the Hole (1951)";"1951"
1704645;"Aces: Iron Eagle III (1992)";"1992"
1705196;"Across the Sea of Time (1995)";"1995"
1705417;"Action Jackson (1988)";"1988"
1706079;"Addams Family Values (1993)";"1993"
1706140;"Addicted to Love (1997)";"1997"
1706887;"Adrenalin: Fear the Rush (1996)";"1996"
1707277;"Adventures in Babysitting (1987)";"1987"
1707941;"Affliction (1997)";"1997"
1708591;"After Life (1999)";"1999"
1708982;"Afterglow (1997)";"1997"
1709238;"Against All Odds (1984)";"1984"
