"movieid";"writerid";"addition"
1672052;29337;"(screenplay)  <2,3,1>"
1672052;88822;"(additional material) (from ""The Breaker"")"
1672052;148525;"(screenplay)  <2,1,1>"
1672052;313071;"(play ""'Breaker' Morant"")  <1,1,1>"
1672052;350279;"(screenplay)  <2,2,1>"
1672111;159772;"(written by)  <2,1,2>"
1672111;159800;"(characters)  <1,1,1>"
1672111;159800;"(written by)  <2,1,1>"
1672580;161018;"(written by)  <1,1,1>"
1672716;266364;"(play)  <1,1,1>"
1672716;266364;"(screenplay)  <2,1,1>"
1672946;251776;"(as Tyler Moore)"
1673647;284865;"(adaptation: from the ""Ballets of Paris"")  <1,1,1>"
1673658;207393;""
1673848;237155;"(written by)  <1,1,1>"
1673848;332709;"(play ""The Taming of the Shrew"") (uncredited)  <2,1,1>"
1673848;342147;"(written by)  <1,1,2>"
1674388;164419;"(screenplay)  <2,1,1>"
1674388;341763;"(novel ""The One Hundred and One Dalmations"")  <1,1,1>"
1674737;312208;"(story and screenplay)  <1,1,1>"
1677011;156260;"(written by)  <1,1,1>"
1677258;132090;"<2,1,1>"
1677258;380731;"(letter)  <1,1,1>"
1677346;30025;"(writer)"
1677472;379054;"(story)"
1677516;204363;"(written by)  <1,1,1>"
1677631;66835;"(screenplay)  <1,2,1>"
1677631;66835;"(story ""The Sentinel"") (uncredited)  <2,1,1>"
1677631;198001;"(screenplay)  <1,1,1>"
1678036;66835;"(novel)  <1,1,1>"
1678036;166193;"(screenplay)  <2,1,1>"
1678591;118797;"(written by)"
1678591;240309;"(written by)"
1679029;137279;"(written by)  <1,1,1>"
1679461;239785;"(written by)  <1,1,1>"
1679461;286124;"(written by)  <1,1,2>"
1679507;290403;"(written by)  <1,1,1>"
1679920;174881;"(poem) (uncredited)  <2,1,1>"
1679920;208364;"<1,1,1>"
1681633;210123;"(novel)  <1,1,1>"
1681633;210123;"(screenplay)  <2,1,1>"
1681633;349907;"(screenplay)  <2,2,1>"
1681655;65134;"(written by)  <1,1,1>"
1682630;216083;"(screenplay)"
1682657;327668;"(written by)  <1,1,1>"
1682692;242954;"(written by)  <1,1,1>"
1682746;138404;"(writer)"
1682922;384562;"(written by)  <1,1,1>"
1684201;228556;""
1684430;276473;"(play)  <1,1,1>"
