"movieid";"rank";"votes";"distribution"
1672052;"7.8";8111;"0000001222"
1672111;"5.3";32183;"0001221000"
1672580;"4.4";1894;"0011110000"
1672716;"7.0";1255;"0000001212"
1673647;"6.5";128;"0000111211"
1673658;"3.9";20;"22101.10.1"
1673848;"7.0";137748;"0000012211"
1674388;"5.5";47380;"0001221000"
1674737;"8.9";245366;"0000000133"
1677011;"6.4";12576;"0000022100"
1677258;"6.8";3150;"0000012111"
1677346;"4.8";1473;"0000111100"
1677516;"5.5";10765;"0000121100"
1677631;"8.3";256844;"0000001123"
1678036;"6.7";30080;"0000012200"
1678591;"6.9";1713;"0000013210"
1679029;"5.8";25185;"0000122100"
1679461;"2.4";7423;"4100000001"
1679507;"3.2";1177;"2111100000"
1679920;"6.7";681;"0000012111"
1681633;"6.2";2295;"0000122100"
1681655;"5.6";22042;"0000121000"
1682630;"8.1";0;""
1682657;"5.0";6447;"0001221000"
1682692;"6.1";2905;"0000111101"
1682746;"5.7";2719;"0000111100"
1682922;"6.4";79658;"0000122100"
1684201;"4.7";192;"0000111001"
1684430;"7.7";65445;"0000002311"
1684442;"6.1";249;"0000112101"
1684486;"7.2";135147;"0000013200"
1684910;"5.1";239;"1000101102"
1685241;"7.4";2754;"0000012211"
1685309;"8.0";73246;"0000001213"
1685405;"6.4";17817;"0000123100"
1685463;"8.4";333747;"0000001223"
1685493;"8.3";21585;"0000001222"
1685815;"6.1";1977;"0000122100"
1686071;"7.4";5;"....4.2..4"
1686209;"6.9";835;"0000013101"
1687181;"5.9";619;"0000111101"
1687191;"7.9";7;"...11.1.14"
1687544;"8.0";7082;"0000001222"
1687685;"6.6";2115;"0000012211"
1687730;"6.4";2170;"0000122101"
1687738;"6.6";2397;"0000122100"
1687905;"7.6";125835;"0000002311"
1688103;"7.6";81299;"0000002311"
1688565;"5.6";269;"0000122000"
1689117;"4.9";1609;"0001221000"
1689183;"6.6";23002;"0000012101"
1689210;"7.8";15083;"0000002311"
1689263;"7.4";279;"0.00011311"
1689475;"7.5";22155;"0000001212"
1690318;"4.5";3297;"0011210000"
1690377;"7.1";3770;"0000012201"
1690616;"7.0";50639;"0000012211"
1690710;"3.8";414;"2011000001"
