"writerid";"name"
70;"Aalmuhammed, Jefri"
125;"Aaron, Joe"
133;"Aaron, Paul"
340;"Abbey, Edward"
363;"Abbott, George (I)"
553;"Abe, Kôbô"
718;"Aberson, Helen"
854;"Abraham, Adam (I)"
904;"Abrahams, Jim"
910;"Abrahams, Mort"
913;"Abrahams, Peter (I)"
987;"Abrams, Anthony"
1013;"Abrams, J.J."
1022;"Abrams, Leon"
1147;"Abugov, Jeff"
1317;"Achille, Giuseppe"
1439;"Ackland, Rodney"
1591;"Adair, Gilbert"
1785;"Adams, Frank R."
1892;"Adams, Max D. (I)"
1922;"Adams, Patch"
1936;"Adams, Richard (IV)"
1950;"Adams, Samantha (I)"
1951;"Adams, Samuel Hopkins"
1977;"Adams, Tracy (I)"
2063;"Addams, Charles"
2221;"Adetuyi, Robert"
2311;"Adleman, Robert H."
2313;"Adler, Alan J."
2317;"Adler, Allen (I)"
2346;"Adler, Gilbert (I)"
2390;"Adler, Warren (I)"
2468;"Adreon, Franklin"
2500;"Adrien, Gilles"
2599;"Affleck, Ben"
2668;"Agadzhanova, Nina"
2741;"Agee, James"
3124;"Aguimatang, Julius"
3403;"Ahmed, Kamal (I)"
4000;"Akerman, Chantal"
4123;"Akins, Zoe"
4462;"Aladjem, Norman (I)"
4671;"Albacete, Alfonso"
4741;"Albee, Edward"
4811;"Albert, Marvin H."
4834;"Alberti, Barbara"
4857;"Alberto, Eliseo"
5101;"Alcoriza, Luis"
5111;"Alcott, Louisa May"
5112;"Alcott, Todd (I)"
5170;"Alden, Steve (I)"
5504;"Alexander, Curt"
5604;"Alexander, Lloyd"
5666;"Alexander, Scott (I)"
5714;"Alexandra, Danielle"
5734;"Alexandre, Michel"
5779;"Alexie, Sherman"
5849;"Alfieri, Alberto"
5912;"Algar, James"
5940;"Algrant, Daniel"
5943;"Algren, Nelson"
6137;"Alison, Joan"
6155;"Aliyev, Arif"
6212;"Allain, Claude"
6267;"Allan, Ted (I)"
6273;"Alland, William"
6287;"Allard, Harry"
6309;"Allcroft, Britt"
6312;"Alldredge, Steven"
6405;"Allen, Corey (I)"
6474;"Allen, Heck"
6484;"Allen, Irwin (I)"
6490;"Allen, J.T. (I)"
6503;"Allen, Janis (I)"
6516;"Allen, Jim (II)"
6547;"Allen, Kevin (I)"
6683;"Allen, Woody"
6690;"Allende, Isabel"
6707;"Allers, Roger"
6756;"Allin, Michael"
6781;"Allison, Dorothy (I)"
6846;"Allouache, Merzak"
6907;"Almagor, Gila"
6983;"Almereyda, Michael"
7005;"Almodóvar, Pedro"
7087;"Alonso Pesquera, José María"
7267;"Alsberg, Arthur"
7455;"Altman, Mark A."
7461;"Altman, Robert (I)"
8071;"Amateau, Rod"
8144;"Ambler, Eric"
8175;"Ambrose, David (I)"
8243;"Amelio, Gianni"
8248;"Amelon, Deborah"
8282;"Amenábar, Alejandro"
8370;"Amidei, Sergio"
8422;"Amini, Hossein"
8472;"Amis, Martin"
8613;"Amos, Patrick (I)"
8964;"Anders, Allison"
9037;"Andersen, Hans Christian"
9165;"Anderson, Brad (II)"
9226;"Anderson, Elizabeth (I)"
9288;"Anderson, Hesper"
9296;"Anderson, J. Todd"
9314;"Anderson, Jane (II)"
9370;"Anderson, Ken (I)"
9438;"Anderson, Maxwell (I)"
9449;"Anderson, Mike (XXXI)"
9477;"Anderson, Paul Thomas"
9478;"Anderson, Paul W.S."
9497;"Anderson, Robert (XVII)"
9551;"Anderson, Stephen J. (I)"
9596;"Anderson, Wes (I)"
9848;"Andreef, Christina (I)"
9934;"Andrew Goldstein, David"
9988;"Andrews, Del"
10077;"Andrews, Tina (I)"
10119;"Andric, Zoran (I)"
10167;"Andronica, James"
10187;"Andrus, Mark (I)"
10292;"Anet, Claude"
10407;"Angell, Roger"
10435;"Angelo, Yves"
10446;"Angelopoulos, Theodoros"
10579;"Anhalt, Edward"
10679;"Annaud, Jean-Jacques"
10753;"Anonymous (VIII)"
10845;"Anson, Jay"
10900;"Anthelme, Paul"
11006;"Anthony, Walter (I)"
11037;"Antin, Steve"
11182;"Antonioni, Michelangelo"
11452;"Apatow, Judd"
11633;"Apple, Max"
11722;"Apstein, Theodore"
